X_cen,Y_cen,Stream_Dis
91.625,22.875,57403.76604
92.625,22.875,30174.83642
92.875,22.875,5971.230791
91.375,23.125,77116.651
91.625,23.125,81624.69489
92.625,23.125,40362.50556
92.875,23.125,23663.23316
91.125,23.375,53758.76041
91.375,23.375,70757.89819
91.625,23.375,89106.45767
92.375,23.375,77309.02268
92.625,23.375,60756.10627
92.875,23.375,49995.39381
93.125,23.375,50614.53598
91.125,23.625,33167.47089
91.375,23.625,52147.08144
91.625,23.625,74876.47911
91.875,23.625,97180.02856
92.125,23.625,106208.3853
92.375,23.625,98224.26178
92.625,23.625,84621.16553
92.875,23.625,76162.36908
93.125,23.625,50672.94108
93.375,23.625,25209.94557
91.125,23.875,18409.09218
91.375,23.875,39311.313
91.625,23.875,61992.33677
91.875,23.875,77608.90443
92.125,23.875,86672.07767
92.375,23.875,98180.67541
92.625,23.875,92073.04691
92.875,23.875,76971.53216
93.125,23.875,58647.19265
93.375,23.875,34490.68295
93.625,23.875,9835.725671
91.375,24.125,32508.99834
91.625,24.125,42810.98172
91.875,24.125,51368.14619
92.125,24.125,63348.52415
92.375,24.125,72667.0498
92.625,24.125,72755.52559
92.875,24.125,54534.36482
93.125,24.125,41149.14669
93.375,24.125,39946.55025
93.625,24.125,16080.36046
91.875,24.375,25977.36492
92.125,24.375,37910.01984
92.375,24.375,49405.78292
92.625,24.375,51667.54901
92.875,24.375,36509.71334
93.125,24.375,17023.60911
93.375,24.375,16843.37678
93.625,24.375,30859.43218
92.125,24.625,12042.44847
92.375,24.625,31579.74883
92.625,24.625,26686.02054
92.875,24.625,18866.88932
93.125,24.625,7768.457351
93.375,24.625,16053.72151
93.625,24.625,41093.02502
92.125,24.875,593.2295716
92.375,24.875,4514.714841
92.625,24.875,3380.941018
92.875,24.875,6446.733674
93.125,24.875,3677.934877
93.375,24.875,21487.31466
93.625,24.875,43897.04584
93.875,24.875,68169.86918
90.125,25.125,41545.04402
90.375,25.125,41658.70004
90.625,25.125,21672.97717
90.875,25.125,12330.37269
91.125,25.125,15883.76422
91.375,25.125,21236.70971
91.625,25.125,27961.91688
91.875,25.125,37948.57569
92.125,25.125,23676.57967
92.375,25.125,21962.35552
92.625,25.125,21531.27639
92.875,25.125,32433.5449
93.125,25.125,29630.94821
93.375,25.125,41002.11554
93.625,25.125,58763.33438
93.875,25.125,78820.98347
94.125,25.125,77273.28016
88.875,25.375,66836.5257
89.125,25.375,49076.17642
89.875,25.375,17362.69272
90.125,25.375,40961.06095
90.375,25.375,59015.53245
90.625,25.375,47092.03419
90.875,25.375,39861.71686
91.125,25.375,43275.27717
91.375,25.375,48426.30051
91.625,25.375,51721.59086
91.875,25.375,59922.23992
92.125,25.375,50655.56698
92.375,25.375,49336.3586
92.625,25.375,49084.47812
92.875,25.375,43055.50484
93.125,25.375,47821.66682
93.375,25.375,63096.03327
93.625,25.375,78414.7961
93.875,25.375,96130.31453
94.125,25.375,78345.13493
94.375,25.375,55316.67816
89.875,25.625,12298.61676
90.125,25.625,29813.99865
90.375,25.625,47023.44337
90.625,25.625,60718.61612
90.875,25.625,62214.36517
91.125,25.625,63158.24451
91.375,25.625,58705.70225
91.625,25.625,57945.53763
91.875,25.625,62531.70373
92.125,25.625,71683.00757
92.375,25.625,54054.46478
92.625,25.625,32747.31571
92.875,25.625,15690.8245
93.125,25.625,26041.20669
93.375,25.625,47419.20889
93.625,25.625,71144.52262
93.875,25.625,73156.03415
94.125,25.625,73065.91573
94.375,25.625,48053.24599
89.375,25.875,3110.650029
89.625,25.875,18910.69465
89.875,25.875,4251.094758
90.125,25.875,11452.826
90.375,25.875,25127.29609
90.625,25.875,34362.26022
90.875,25.875,34677.88411
91.125,25.875,36107.93034
91.375,25.875,32034.49344
91.625,25.875,30553.41975
91.875,25.875,36435.19685
92.125,25.875,44829.63497
92.375,25.875,34711.3721
92.625,25.875,17136.26886
92.875,25.875,328.7323527
93.125,25.875,20468.35787
